Unnamed: 0,Recording_S3_LocationLink,Streamable_S3_Key,Recordings,brightness,bp.Conventions (from Recordings),s3-key,audio_path
22,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_OperatingRoom_Orginal_220909_Cm_85_4-4_WB_NXT.wav,cXindmdcbicEgPb6irhNgDaIjjiNdodH.mp3,Operating Room (Orginal),1,"Technology,Adventure,Trailer,Music as Background,Swagger,Cinematic",Google_DefendTheUser_OperatingRoom_Orginal_220909_Cm_85_4-4_WB_NXT.wav,data/audio/Google_DefendTheUser_OperatingRoom_Orginal_220909_Cm_85_4-4_WB_NXT.wav
23,https://betterproblems-production-originals.s3.amazonaws.com/Beats_Zodiac_PurpleGrit_LB_Cm_4_4_136bpm_210317_qt.wav,grjBfKgOgGfFalazaFhHgeeNcbbYbdgg.mp3,Purple Grit (Original ),1,"Sci-Fi,Drama,Fashion,Technology",Beats_Zodiac_PurpleGrit_LB_Cm_4_4_136bpm_210317_qt.wav,data/audio/Beats_Zodiac_PurpleGrit_LB_Cm_4_4_136bpm_210317_qt.wav
24,https://betterproblems-production-originals.s3.amazonaws.com/17151118_Gravity_Intro_MUSonly_073013_qt.wav,eCbBaeiZfhf2cQitaPatjWhfcxfKbreR.mp3,Crescendon't (A),1,"Cinematic,Drama,Chase & Action,Sci-Fi,Magic & Fantasy",17151118_Gravity_Intro_MUSonly_073013_qt.wav,data/audio/17151118_Gravity_Intro_MUSonly_073013_qt.wav
25,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_IntimatePosters_TormentNow_LS_160428_qt.wav,dBh7gphZeOg6fegueCh2jEdvgdd6eQ.mp3,Torment Now (Original),1,"Swagger,Sci-Fi,Technology",AFSP_IntimatePosters_TormentNow_LS_160428_qt.wav,data/audio/AFSP_IntimatePosters_TormentNow_LS_160428_qt.wav
27,https://betterproblems-production-originals.s3.amazonaws.com/Ally360_PlanetZeee_Orion_Original_200315_A_120_3-4_BE_NXT.wav,fEhwd8jzbBhYhRhdh4eAg4bicmgFiuib.mp3,Rigel (Original),1,"Sci-Fi,Cinematic,Technology",Ally360_PlanetZeee_Orion_Original_200315_A_120_3-4_BE_NXT.wav,data/audio/Ally360_PlanetZeee_Orion_Original_200315_A_120_3-4_BE_NXT.wav
29,https://betterproblems-production-originals.s3.amazonaws.com/17151500_SIAG_Hover_170112_qt.wav,h7bYddbubjgEa2a5a1bBbTcQezc3c8bl.mp3,Hover (Original),1,"Cars,Cinematic",17151500_SIAG_Hover_170112_qt.wav,data/audio/17151500_SIAG_Hover_170112_qt.wav
31,https://betterproblems-production-originals.s3.amazonaws.com/Brahma_Agricultores_Groo_LS_Ret.wav,etjth9baihgbaTbUcFc9eFgwe7f1awan.mp3,Agricultores (Original),1,Cinematic,Brahma_Agricultores_Groo_LS_Ret.wav,data/audio/Brahma_Agricultores_Groo_LS_Ret.wav
32,https://betterproblems-production-originals.s3.amazonaws.com/Peaches_Power_NoHurry_180221_LIB_SC.wav,eJhtbWfzcvhRi1cAeXesgXe5jqgLflfM.mp3,No Hurry (Original),1,"Music as Background,Swagger,Fashion,Sports,Technology,Horror,Cinematic,Drama",Peaches_Power_NoHurry_180221_LIB_SC.wav,data/audio/Peaches_Power_NoHurry_180221_LIB_SC.wav
33,https://betterproblems-production-originals.s3.amazonaws.com/IBM_DreamItDone_HeavyHand_Extended_180129_LibEdit_RW_191001.wav,bhaBc6eEjyb5iRhZc6aTg3iui1bOaeiO.mp3,Heavy Hand (Extended),1,"Cars,Technology,Sports,Swagger,Chase & Action",IBM_DreamItDone_HeavyHand_Extended_180129_LibEdit_RW_191001.wav,data/audio/IBM_DreamItDone_HeavyHand_Extended_180129_LibEdit_RW_191001.wav
34,https://betterproblems-production-originals.s3.amazonaws.com/Ford_MustangThrillRide_BeyondTheDust_Original_230424_Cm_102_4-4_PB-CVV_NXT.wav,gqamhrbPgKb2eravhmaggJiCeghbbPir.mp3,Beyond The Dust (Original),1,Technology,Ford_MustangThrillRide_BeyondTheDust_Original_230424_Cm_102_4-4_PB-CVV_NXT.wav,data/audio/Ford_MustangThrillRide_BeyondTheDust_Original_230424_Cm_102_4-4_PB-CVV_NXT.wav
35,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_GLOBO_Familia_MiniMall_Longa_LS_122213_2p-01.wav,h4i2ddfSiNaAaqhpiejIidfoiii7b8aE.mp3,Mini Mall (Original),1,"Horror,Cinematic,Drama",AFSP_GLOBO_Familia_MiniMall_Longa_LS_122213_2p-01.wav,data/audio/AFSP_GLOBO_Familia_MiniMall_Longa_LS_122213_2p-01.wav
36,https://betterproblems-production-originals.s3.amazonaws.com/CUPRA_StartYourEngine_Miracles_Original_211019_Em_124_4-4_PB.wav,ddhUdmjxhmeyita2ijhgdNiwfChKgsby.mp3,Miracles (Original),1,"Health & Beauty,Fashion,Drama,Sci-Fi,Technology",CUPRA_StartYourEngine_Miracles_Original_211019_Em_124_4-4_PB.wav,data/audio/CUPRA_StartYourEngine_Miracles_Original_211019_Em_124_4-4_PB.wav
37,https://betterproblems-production-originals.s3.amazonaws.com/Nike_CollegeFootball_Gridiron_102312_WB_Dm_150_4-4_NXT.wav,dVeefrhgb6j4hQd2doa3dUhoghfVjT.mp3,Gridiron (102312),1,"Sports,Epic Heroes",Nike_CollegeFootball_Gridiron_102312_WB_Dm_150_4-4_NXT.wav,data/audio/Nike_CollegeFootball_Gridiron_102312_WB_Dm_150_4-4_NXT.wav
38,https://betterproblems-production-originals.s3.amazonaws.com/BRADY_GlassWalls_190219_LIB_WB_102_Aminjor.wav,dhctd6aEc9ibj5ghfPfOalgObHf4e2bW.mp3,Glass Walls (A),1,"Drama,Swagger,Sci-Fi,Technology,Chase & Action",BRADY_GlassWalls_190219_LIB_WB_102_Aminjor.wav,data/audio/BRADY_GlassWalls_190219_LIB_WB_102_Aminjor.wav
39,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_Lenovo_Surrounded_WildGroove_160225_16h_qt_VN.wav,bnfheVfSfNidaEe8h6bNaXfTjVajiLbU.mp3,Wild Groove (Short Mix),1,"Sports,Cars,Swagger,Chase & Action,Technology",AFSP_Lenovo_Surrounded_WildGroove_160225_16h_qt_VN.wav,data/audio/AFSP_Lenovo_Surrounded_WildGroove_160225_16h_qt_VN.wav
40,https://betterproblems-production-originals.s3.amazonaws.com/Enphase_SunShape_HelioPhillip_Original_211021_E_90_4-4_BE_NXT.wav,euiMgUbHb7ize8bnj9bXbXfdfxiGc9b5.mp3,Helio Phillip (Original),1,"Technology,Sci-Fi",Enphase_SunShape_HelioPhillip_Original_211021_E_90_4-4_BE_NXT.wav,data/audio/Enphase_SunShape_HelioPhillip_Original_211021_E_90_4-4_BE_NXT.wav
41,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_SAMSUNG_GalaxyA_SpeedingFeast_170124_qt_VN.wav,iCgOfQgPaacQdkcmfJiFcuhjdMc3hZhY.mp3,Speeding Feast (Original),1,"Swagger,Chase & Action,Drama,Magic & Fantasy",AFSP_SAMSUNG_GalaxyA_SpeedingFeast_170124_qt_VN.wav,data/audio/AFSP_SAMSUNG_GalaxyA_SpeedingFeast_170124_qt_VN.wav
42,https://betterproblems-production-originals.s3.amazonaws.com/102_Antfood_PigFarmer.wav,eTgth8cjhjdJabcicFg9eRcca8e6fnab.mp3,Pig Farmer (Original),1,"Comedy,Fashion,Cinematic,Whimsical & Quirky,Magic & Fantasy",102_Antfood_PigFarmer.wav,data/audio/102_Antfood_PigFarmer.wav
43,https://betterproblems-production-originals.s3.amazonaws.com/17151019_Gillette_Moonraker_Spang_160502_qt.wav,ireNhVdecfcPiQeUjUdqg8f1e9gmg6bz.mp3,Spang (Original),1,"Chase & Action,Technology,Whimsical & Quirky,Sci-Fi",17151019_Gillette_Moonraker_Spang_160502_qt.wav,data/audio/17151019_Gillette_Moonraker_Spang_160502_qt.wav
44,https://betterproblems-production-originals.s3.amazonaws.com/20-3190_LIC_Fila_Filme_GuiAraujo_OneFoot_LB_Gm_4_4_95bpm_210302_qt.wav,bUiEhYiVhLc7jJj3dJfEjMgPj3dWgSem.mp3,One Foot (Original ),1,"Sports,Swagger",20-3190_LIC_Fila_Filme_GuiAraujo_OneFoot_LB_Gm_4_4_95bpm_210302_qt.wav,data/audio/20-3190_LIC_Fila_Filme_GuiAraujo_OneFoot_LB_Gm_4_4_95bpm_210302_qt.wav
45,https://betterproblems-production-originals.s3.amazonaws.com/17151013_Gilette_Moonraker_5Miles_160502_qt.wav,ipcMgCfxeQglbMaBhda7eocEhkjOgOgo.mp3,5 Miles (Original),1,"Cars,Fashion,Technology,Drama,Chase & Action",17151013_Gilette_Moonraker_5Miles_160502_qt.wav,data/audio/17151013_Gilette_Moonraker_5Miles_160502_qt.wav
46,https://betterproblems-production-originals.s3.amazonaws.com/Carnival_SwaggerBoatTrilledUp_171110_np.wav,fnf7fBe5i6d3gQi6bMgmahjoaIhJhvhj.mp3,Swagger Boat Trilled Up (Original),1,"Swagger,Epic Heroes,Chase & Action",Carnival_SwaggerBoatTrilledUp_171110_np.wav,data/audio/Carnival_SwaggerBoatTrilledUp_171110_np.wav
47,https://betterproblems-production-originals.s3.amazonaws.com/17150681_AICP_2017Titles_Blausee.wav,csjMdAabgadodbfpdBdliBeuhEeFdOiS.mp3,Blausee (Original),1,"Sports,Cars,Cinematic,Magic & Fantasy,Trailer",17150681_AICP_2017Titles_Blausee.wav,data/audio/17150681_AICP_2017Titles_Blausee.wav
51,https://betterproblems-production-originals.s3.amazonaws.com/BritishArmy_Emotions_Bayleaf_MUS_180213_LIB_YE.wav,f8jlfhbZbJh3c2ayaRhfgUhyiVgFimdd.mp3,Bayleaf (Original),1,"Drama,Trailer",BritishArmy_Emotions_Bayleaf_MUS_180213_LIB_YE.wav,data/audio/BritishArmy_Emotions_Bayleaf_MUS_180213_LIB_YE.wav
52,https://betterproblems-production-originals.s3.amazonaws.com/BattlescarVR_BackgroundDrumFill_171220_LIB_WB.wav,g5ikjodqd9iJfba6ehdHj1gLb8gEd7cd.mp3,Background Check (Drum Fill),1,"Epic Heroes,Swagger",BattlescarVR_BackgroundDrumFill_171220_LIB_WB.wav,data/audio/BattlescarVR_BackgroundDrumFill_171220_LIB_WB.wav
53,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_TNT_UFC_TheGiantBeast_141212_qt_VN.wav,hJdhcKg1jhjkjMiDingagngYjgg3ev.mp3,The Giant Beast (Original),1,"Swagger,Sports,Cars,Drama,Chase & Action",AFSP_TNT_UFC_TheGiantBeast_141212_qt_VN.wav,data/audio/AFSP_TNT_UFC_TheGiantBeast_141212_qt_VN.wav
55,https://betterproblems-production-originals.s3.amazonaws.com/17150686_AICPNEXT_PulsesTest_170519_qt.wav,ekd2gsdSg9hQaNjuitiOaTgdeQd1ctfk.mp3,Pulses Test (Original),1,"Cinematic,Sci-Fi,Technology,Horror",17150686_AICPNEXT_PulsesTest_170519_qt.wav,data/audio/17150686_AICPNEXT_PulsesTest_170519_qt.wav
56,https://betterproblems-production-originals.s3.amazonaws.com/17150723_Arla_Xanthan_Trifocals_MUS_170317_qt.wav,encKgxiJhzehigcfj4dCcqhDdbcngtbo.mp3,Trifocals (Original),1,"Cinematic,Drama,Chase & Action,Sci-Fi",17150723_Arla_Xanthan_Trifocals_MUS_170317_qt.wav,data/audio/17150723_Arla_Xanthan_Trifocals_MUS_170317_qt.wav
57,https://betterproblems-production-originals.s3.amazonaws.com/Microsoft_SunValley_VeritasAndHerMirror_Instrumental_210519_Dbm_110_4-4_NXT.wav,dobrehetayf6iRcoe1gmdngUeadIcufv.mp3,Veritas And Her Mirror (Instrumental),1,"Swagger,Fashion",Microsoft_SunValley_VeritasAndHerMirror_Instrumental_210519_Dbm_110_4-4_NXT.wav,data/audio/Microsoft_SunValley_VeritasAndHerMirror_Instrumental_210519_Dbm_110_4-4_NXT.wav
59,https://betterproblems-production-originals.s3.amazonaws.com/Cobra_Speedzone_Commander_Product_200204_A_120_SC.wav,hjbEdXhQjgcqiqieiyhLhaezeTcHhcds.mp3,Commander (Original),1,"Cars,Fashion,Chase & Action,Horror,Cinematic,Epic Heroes",Cobra_Speedzone_Commander_Product_200204_A_120_SC.wav,data/audio/Cobra_Speedzone_Commander_Product_200204_A_120_SC.wav
60,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_LIC_Ford_BlackFriday_TheMansion_LB_181026_qt.wav,cqcjfQhJfUaKbGhadkiyejjiiIgYhCj1.mp3,The Mansion (Original),1,"Drama,Sports,Trailer,Epic Heroes,Cinematic",AFSP_LIC_Ford_BlackFriday_TheMansion_LB_181026_qt.wav,data/audio/AFSP_LIC_Ford_BlackFriday_TheMansion_LB_181026_qt.wav
61,https://betterproblems-production-originals.s3.amazonaws.com/17151119_Gravity_Intro_MUSonly_OP2_073013_qt.wav,bGbKehbTaKfyfBi5gViLi1jgg6iDgG.mp3,Crescendon't (B),1,"Cinematic,Drama,Magic & Fantasy,Sci-Fi,Chase & Action",17151119_Gravity_Intro_MUSonly_OP2_073013_qt.wav,data/audio/17151119_Gravity_Intro_MUSonly_OP2_073013_qt.wav
63,https://betterproblems-production-originals.s3.amazonaws.com/17150899_EuroWax_Manifesto_Sol_Instrumental_112013_qt.wav,eqhydIgzdOg9hcdVcsezffeXfCjHhdiG.mp3,Sol (Instrumental),1,"Cars,Swagger,Magic & Fantasy",17150899_EuroWax_Manifesto_Sol_Instrumental_112013_qt.wav,data/audio/17150899_EuroWax_Manifesto_Sol_Instrumental_112013_qt.wav
64,https://betterproblems-production-originals.s3.amazonaws.com/Robinhood_Dawn_AlsoSprachZarathustra_SpaghettiWesternSynth_221014_D_120_4-4_RichardStrauss-SC_NXT.wav,hegJdgbybwdVeufyapb1aweejjgBbpgq.mp3,Also Sprach Zarathustra (Spaghetti Western Synth),1,"Corporate Manifesto,Epic Heroes,Western",Robinhood_Dawn_AlsoSprachZarathustra_SpaghettiWesternSynth_221014_D_120_4-4_RichardStrauss-SC_NXT.wav,data/audio/Robinhood_Dawn_AlsoSprachZarathustra_SpaghettiWesternSynth_221014_D_120_4-4_RichardStrauss-SC_NXT.wav
65,https://betterproblems-production-originals.s3.amazonaws.com/Amazon_Bestiary_MantaRay_Cloak_191219_E_80_SC.wav,bGaFgkjhcHgaj2eCbIcHd7epfpccfTfa.mp3,Cloak (Original),1,"Music as Background,Technology,Cinematic,Magic & Fantasy,Sci-Fi",Amazon_Bestiary_MantaRay_Cloak_191219_E_80_SC.wav,data/audio/Amazon_Bestiary_MantaRay_Cloak_191219_E_80_SC.wav
66,https://betterproblems-production-originals.s3.amazonaws.com/BPEpisodicScores_TechnoParanoia_NullPerception_Original_230814_Cm_120_4-4_YE_NXT.wav,cMfIcAiVcBevdzcNiEcHcFhof9c2iEf8.mp3,Null Perception (Original),1,"Drama,Technology",BPEpisodicScores_TechnoParanoia_NullPerception_Original_230814_Cm_120_4-4_YE_NXT.wav,data/audio/BPEpisodicScores_TechnoParanoia_NullPerception_Original_230814_Cm_120_4-4_YE_NXT.wav
67,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_Sentry_Original_220908_Dm_150_4-4_RW_Ensemble.wav,fvf1fjeVavgNaJgjembCfud1ixgDgCi3.mp3,Sentry (Original),1,"Drama,Cinematic,Music as Background,Chase & Action,Adventure,Spy,Trailer",Google_DefendTheUser_Sentry_Original_220908_Dm_150_4-4_RW_Ensemble.wav,data/audio/Google_DefendTheUser_Sentry_Original_220908_Dm_150_4-4_RW_Ensemble.wav
69,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_TheItchYouCantScratch_Original_220912_Key_120_4-4_YE_NXT.wav,h7dxgfcqe5dFcDczhRcka1ihdefmezjL.mp3,The Itch You Cant Scratch (Original),1,"Horror,Music as Background,Whimsical & Quirky",Google_DefendTheUser_TheItchYouCantScratch_Original_220912_Key_120_4-4_YE_NXT.wav,data/audio/Google_DefendTheUser_TheItchYouCantScratch_Original_220912_Key_120_4-4_YE_NXT.wav
71,https://betterproblems-production-originals.s3.amazonaws.com/CBS_LocalNewsStationRebrand_OnMain_Original_221222_Bm_86_4-4_BE_NXT.wav,cSgudPaji3dNfufqbpbwfcfujEifghbJ.mp3,On Main (Original),1,Swagger,CBS_LocalNewsStationRebrand_OnMain_Original_221222_Bm_86_4-4_BE_NXT.wav,data/audio/CBS_LocalNewsStationRebrand_OnMain_Original_221222_Bm_86_4-4_BE_NXT.wav
72,https://betterproblems-production-originals.s3.amazonaws.com/AICP_MainTitles2018_Vernacular_180713_LIB_YE.wav,cSj7hscQdScSdhjyj2jYcybhf3g9idbn.mp3,Vernacular (Original),1,"Fashion,Technology",AICP_MainTitles2018_Vernacular_180713_LIB_YE.wav,data/audio/AICP_MainTitles2018_Vernacular_180713_LIB_YE.wav
73,https://betterproblems-production-originals.s3.amazonaws.com/BP_ModernHipHop_DirtySturdy_Original_230606_Dm_166_4-4_LHS_NXT.wav,bmigbffmbDjgaXixdpdvbQcZbIeFeshq.mp3,Dirty Sturdy (Original),1,"Nightlife & Alcohol,Sexy & Seductive,Sports,Apparel & Retail,Cinematic,Swagger",BP_ModernHipHop_DirtySturdy_Original_230606_Dm_166_4-4_LHS_NXT.wav,data/audio/BP_ModernHipHop_DirtySturdy_Original_230606_Dm_166_4-4_LHS_NXT.wav
74,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_StringThreat_Original_220912_Cm_128_4-4_LB-RW_NXT.wav,exfaefb7bMemgBejaNiJjScieDcCgNhY.mp3,String Threat (Original),1,"Cinematic,Music as Background,Case Study,Technology",Google_DefendTheUser_StringThreat_Original_220912_Cm_128_4-4_LB-RW_NXT.wav,data/audio/Google_DefendTheUser_StringThreat_Original_220912_Cm_128_4-4_LB-RW_NXT.wav
75,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_RioPinheiros_Teaser_IceDragon_LS_170914_qt.wav,g3bFaRfhapbaaujYh2fGeXaQeGjpiTbR.mp3,Ice Dragon (Original),1,"Cinematic,Magic & Fantasy,Technology",AFSP_RioPinheiros_Teaser_IceDragon_LS_170914_qt.wav,data/audio/AFSP_RioPinheiros_Teaser_IceDragon_LS_170914_qt.wav
76,https://betterproblems-production-originals.s3.amazonaws.com/TW_HudsonYards_Hotlines_Ouranos_Drone_KnightTime_181022_LIB_SC.wav,evccjQcAdVjIikeShRiBffc6jzitfFdh.mp3,Knight Time (Original),1,"Music as Background,Cinematic,Horror,Magic & Fantasy,Sci-Fi",TW_HudsonYards_Hotlines_Ouranos_Drone_KnightTime_181022_LIB_SC.wav,data/audio/TW_HudsonYards_Hotlines_Ouranos_Drone_KnightTime_181022_LIB_SC.wav
77,https://betterproblems-production-originals.s3.amazonaws.com/17151569_Syfy_CabbagePatch_Ondes_141010_qt.wav,dybtaKj4hfblgajkeZi5e4cQa8jsei.mp3,Ondes (Original),1,"Cinematic,Sci-Fi,Horror",17151569_Syfy_CabbagePatch_Ondes_141010_qt.wav,data/audio/17151569_Syfy_CabbagePatch_Ondes_141010_qt.wav
78,https://betterproblems-production-originals.s3.amazonaws.com/149_Antfood_Ogres.wav,cSbueciXhYgSj7iRiyfwgGiEjUjMc2ig.mp3,Ogres (Original),1,"Comedy,Cinematic,Epic Heroes,Drama,Chase & Action",149_Antfood_Ogres.wav,data/audio/149_Antfood_Ogres.wav
79,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_Flare_Original_220913_Am_144_4-4_RW_RWCello.wav,eScRi2e2iQdYj4gLbibMgMjCj7cpjFfu.mp3,Flare (Original),1,"Cinematic,Adventure,Swagger,Sports,Technology,Chase & Action,Drama,Epic Heroes,Magic & Fantasy,Spy,Trailer",Google_DefendTheUser_Flare_Original_220913_Am_144_4-4_RW_RWCello.wav,data/audio/Google_DefendTheUser_Flare_Original_220913_Am_144_4-4_RW_RWCello.wav
80,https://betterproblems-production-originals.s3.amazonaws.com/1025_Titan.wav,hzagchfYeubGdTimgNgVjLjHiGeniv.mp3,Titan (Original),1,"Cinematic,Magic & Fantasy,Sci-Fi",1025_Titan.wav,data/audio/1025_Titan.wav
81,https://betterproblems-production-originals.s3.amazonaws.com/SPATEN_IMC_GreasyElbows_Original_220821_Em_150bpm_4_4_VN_NXT.wav,cAexaYgFhFb7iAf1dybDgccCaufiae.mp3,Greasy Elbows (Big Rock Remix),1,Cars,SPATEN_IMC_GreasyElbows_Original_220821_Em_150bpm_4_4_VN_NXT.wav,data/audio/SPATEN_IMC_GreasyElbows_Original_220821_Em_150bpm_4_4_VN_NXT.wav
82,https://betterproblems-production-originals.s3.amazonaws.com/17150715_Arla_Xanthan_Bebe_MUS_170317_qt.wav,doiIbQhrbNjPdThkh6friDcxbHelhDbQ.mp3,Bebe (Original),1,"Whimsical & Quirky,Magic & Fantasy,Sci-Fi,Horror,Technology",17150715_Arla_Xanthan_Bebe_MUS_170317_qt.wav,data/audio/17150715_Arla_Xanthan_Bebe_MUS_170317_qt.wav
