Filename,Recording_S3_LocationLink,Streamable_S3_Key,Recordings,brightness,bp.Conventions (from Recordings)
118_Antfood_MoogAria.wav,https://betterproblems-production-originals.s3.amazonaws.com/118_Antfood_MoogAria.wav,fvhPg5bzhtfAf3ifcbgrdzfyd4eqfLaY.mp3,Moog  Aria (Original),84,"Comedy,Kids,Technology,Whimsical & Quirky,Magic & Fantasy,Sci-Fi"
119_Antfood_Roboland.wav,https://betterproblems-production-originals.s3.amazonaws.com/119_Antfood_Roboland.wav,dsj4cuaBangGbgi4gAgXerddi6eVhKhm.mp3,Roboland (Original),55,"Sports,Cars,Swagger"
120_Antfood_Squared.wav,https://betterproblems-production-originals.s3.amazonaws.com/120_Antfood_Squared.wav,esflaSjHcceVcTjxhybqbahVa7idbw.mp3,Clair De Lune (Cover),76,Whimsical & Quirky
121_Antfood_Spiders.wav,https://betterproblems-production-originals.s3.amazonaws.com/121_Antfood_Spiders.wav,f7fnbNfHgPcVbeaNiDhJe2bMgMfJhjfo.mp3,Spiders (Original),66,"Corporate Manifesto,Nostalgia Evoking"
122_Antfood_Easy.wav,https://betterproblems-production-originals.s3.amazonaws.com/122_Antfood_Easy.wav,dVdea7a6jdg5jmdpiFg8cMftcsfKeL.mp3,Easy (Original),86,"Swagger,Cars,Health & Beauty"
123_Antfood_DirtyParty.wav,https://betterproblems-production-originals.s3.amazonaws.com/123_Antfood_DirtyParty.wav,csd3dXbRdyhUbTaafaagfgi7gkcrenjH.mp3,Dirty Party (Original),53,"Cars,Cinematic,Drama,Spy,Whimsical & Quirky"
124_Antfood_Werewolves.wav,https://betterproblems-production-originals.s3.amazonaws.com/124_Antfood_Werewolves.wav,bziMcwjidadEdsjQisascRahi2coeChK.mp3,Werewolves (Original),45,"Cars,Swagger"
125_Antfood_Community.wav,https://betterproblems-production-originals.s3.amazonaws.com/125_Antfood_Community.wav,cZjufbdpe6chgua8aLhccvfsf4i8aec3.mp3,Community (Original),85,"Babies,Magic & Fantasy,Whimsical & Quirky"
126_Antfood_SaltyChicken.wav,https://betterproblems-production-originals.s3.amazonaws.com/126_Antfood_SaltyChicken.wav,hObteziybpc5hXfScejejcalfqb6bNhW.mp3,Salty Chicken (Original),88,"Cars,Swagger"
127_Antfood_MilkCrate.wav,https://betterproblems-production-originals.s3.amazonaws.com/127_Antfood_MilkCrate.wav,gcgij4gJe5c2izhPdkeygddveleViFiG.mp3,Milk Crate (Original),56,"Sports,Cars,Swagger"
128_Antfood_CityStreets.wav,https://betterproblems-production-originals.s3.amazonaws.com/128_Antfood_CityStreets.wav,hVj8eEeIhRa9gSfif1aoa5hcefcWbMdu.mp3,City Streets (Original),80,"Sports,Cars,Swagger,Whimsical & Quirky"
129_Antfood_DownTheHall.wav,https://betterproblems-production-originals.s3.amazonaws.com/129_Antfood_DownTheHall.wav,hrh6d8iIbLdoeycjgtfYeSeZfQe9dxjw.mp3,Down The Hall (Original),57,"Swagger,Spy,Comedy"
130_Antfood_DoctorPants.wav,https://betterproblems-production-originals.s3.amazonaws.com/130_Antfood_DoctorPants.wav,cMjDh7hahDgndOiEd3cWardVgQfsjdjp.mp3,Doctor Pants (Original),55,"Sports,Cars,Technology,Swagger,Spy"
131_Antfood_Boots_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/131_Antfood_Boots_A.wav,cgj1cRh1eEfTiri7cdfZayc7dHetdyig.mp3,Boots (Instrumental),58,"Sports,Cars,Swagger,Chase & Action,Kids"
131_Antfood_Boots_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/131_Antfood_Boots_B.wav,gMjzagbrhAfta7dXiKecjYemhib2i4a3.mp3,Boots (Female Vocals),58,"Sports,Cars,Swagger,Chase & Action"
132_Antfood_YouKnowIWantYou.wav,https://betterproblems-production-originals.s3.amazonaws.com/132_Antfood_YouKnowIWantYou.wav,d4g7aXePhVdehddiaBfRhLfVir.mp3,You Know I Want You (Original),34,Swagger
133_Antfood_Chinelas.wav,https://betterproblems-production-originals.s3.amazonaws.com/133_Antfood_Chinelas.wav,claNiIgeiHjNeOawd2hUcbfHiVjAgOej.mp3,Chinelas (Original),43,"Whimsical & Quirky,Case Study"
134_Antfood_BrerFox.wav,https://betterproblems-production-originals.s3.amazonaws.com/134_Antfood_BrerFox.wav,jCfieea8fmhTcvjBjGjhesiCjk.mp3,The Trickster (Duplicate 1),50,
135_Antfood_Crumbs.wav,https://betterproblems-production-originals.s3.amazonaws.com/135_Antfood_Crumbs.wav,b1iPeIird1jJbYcGfEc4jKbrgBdgiNdF.mp3,Crumbs (Long),82,"Pharma,Health & Beauty"
Golden_Lucky:Fuel_Achieve_Original_060308_F_150_4-4_WB_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Golden_Lucky%3AFuel_Achieve_Original_060308_F_150_4-4_WB_NXT.wav,jeh6cBebe8gnarc5jmbRaCcPgZcvjY.mp3,Achieve (Original),61,"Babies,Whimsical & Quirky"
137_Antfood_PartyPeople.wav,https://betterproblems-production-originals.s3.amazonaws.com/137_Antfood_PartyPeople.wav,eoeucbfvhAbEj4gbgXfeeXfpdbdOe7.mp3,Party People (Original),43,"Sports,Swagger,Spy"
138_Antfood_Grapefruit.wav,https://betterproblems-production-originals.s3.amazonaws.com/138_Antfood_Grapefruit.wav,gdjtiLcidHiehsjyiVe1jRbaildYd5gf.mp3,Grapefruit (Original),85,"Elegant & Sophisticated,Music as Background"
140_Antfood_Slippers.wav,https://betterproblems-production-originals.s3.amazonaws.com/140_Antfood_Slippers.wav,gibmjmabbKibjviTenjiaCaza9adjlfR.mp3,Slippers (Original),83,"Health & Beauty,Kids,Pharma"
141_Antfood_OldFriends_LIBEDIT_FIXEND_RW_190626.wav,https://betterproblems-production-originals.s3.amazonaws.com/141_Antfood_OldFriends_LIBEDIT_FIXEND_RW_190626.wav,dyciePdsgqexjzdEjKbmdEh3bkdVeqdp.mp3,Old Friends (Original),46,Babies
142_Antfood_SundayPaper.wav,https://betterproblems-production-originals.s3.amazonaws.com/142_Antfood_SundayPaper.wav,gvhSfXhvetdFhIcKfNiGgzgmbdbdjxgq.mp3,Sunday Paper (Original),82,"Kids,Health & Beauty,Pharma"
143_Antfood_Route39_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/143_Antfood_Route39_A.wav,dPiMe8gXhgeucAj1gDe3hAb1f5hdcEhq.mp3,Route 39 (A),58,"Babies,Western"
143_Antfood_Route39_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/143_Antfood_Route39_B.wav,eldxhUaRahcLdubRbGfthzenijg7fuco.mp3,Route 39 (B),58,"Babies,Western"
145_Antfood_GhostTown.wav,https://betterproblems-production-originals.s3.amazonaws.com/145_Antfood_GhostTown.wav,eegyhagNcZcwaVgJhVhcdpffepjMhaj4.mp3,Ghost Town (Original),39,"Kids,Whimsical & Quirky,Magic & Fantasy,Sci-Fi,Horror,Comedy,Cinematic"
146_Antfood_PerpetualMotion.wav,https://betterproblems-production-originals.s3.amazonaws.com/146_Antfood_PerpetualMotion.wav,cCfRcvaVfpaVdPckd8alaViHbHcOdKjG.mp3,Perpetual Motion (Original),41,"Technology,Magic & Fantasy"
147_Antfood_TickTock.wav,https://betterproblems-production-originals.s3.amazonaws.com/147_Antfood_TickTock.wav,j9gidzivgFjJbwd4gjgod8aAacjZab.mp3,Tick Tock (Original),100,"Babies,Kids,Magic & Fantasy"
148_Antfood_ProfessorBill.wav,https://betterproblems-production-originals.s3.amazonaws.com/148_Antfood_ProfessorBill.wav,bbb8gLjuiabkggagcvjDdigFhydxe9cd.mp3,Professor Bill (Original),77,"Kids,Whimsical & Quirky,Magic & Fantasy"
149_Antfood_Ogres.wav,https://betterproblems-production-originals.s3.amazonaws.com/149_Antfood_Ogres.wav,cSbueciXhYgSj7iRiyfwgGiEjUjMc2ig.mp3,Ogres (Original),15,"Comedy,Cinematic,Epic Heroes,Drama,Chase & Action"
150_Amway_FairyTale_012210_LIBEDIT_FIXEND_RW_190626.wav,https://betterproblems-production-originals.s3.amazonaws.com/150_Amway_FairyTale_012210_LIBEDIT_FIXEND_RW_190626.wav,bKjqc4hXgNiWioi7blergbhGh7hPehfL.mp3,Lucid Fable (Original),83,"Cars,Drama"
151_Antfood_ThatsHot.wav,https://betterproblems-production-originals.s3.amazonaws.com/151_Antfood_ThatsHot.wav,i6bCexhGgmbVd2hpi4i8cdj2hdh3dNaY.mp3,That's Hot (Original),85,"Kids,Whimsical & Quirky"
155_Antfood_Espanhola.wav,https://betterproblems-production-originals.s3.amazonaws.com/155_Antfood_Espanhola.wav,ftdce1aIcQepcnahbPjje7hnfkbqgNdx.mp3,Espanhola (Original),72,"Sports,Cars,Swagger,Chase & Action"
156_Antfood_Fidelidade.wav,https://betterproblems-production-originals.s3.amazonaws.com/156_Antfood_Fidelidade.wav,iRaDewhkaMg7arbMhXcJb3c9hbf5aO.mp3,Fidelidade (Original),85,Chase & Action
157_Antfood_Forrozao.wav,https://betterproblems-production-originals.s3.amazonaws.com/157_Antfood_Forrozao.wav,h1gzdOfJbtg3jBbEfLhJihdecidQeFev.mp3,Forrozão (Original),20,"Sports,Cars,Chase & Action"
161_Antfood_Rikki.wav,https://betterproblems-production-originals.s3.amazonaws.com/161_Antfood_Rikki.wav,byi6gZbpcDb1fDhZdPfAjzfHhmbQiGi3.mp3,Rikki (Original),78,"Cars,Swagger,Chase & Action,Sports"
162_Antfood_Sacudin.wav,https://betterproblems-production-originals.s3.amazonaws.com/162_Antfood_Sacudin.wav,hngMcObZjygMb7eXcidgaSfRimbucjbd.mp3,Sacudin (Original),65,"Fashion,Swagger"
163_Antfood_ElusiveBeats.wav,https://betterproblems-production-originals.s3.amazonaws.com/163_Antfood_ElusiveBeats.wav,fpagagiNhwf8hgf4bqaxcXayeChKf4eq.mp3,Elusive Beats (Original),78,Swagger
164_Antfood_FamilyTime.wav,https://betterproblems-production-originals.s3.amazonaws.com/164_Antfood_FamilyTime.wav,gJdCebgTcXbCcNjXdBeGaVbKeTaEc3ea.mp3,Family Time (Original),53,Babies
165_Antfood_JustBecause.wav,https://betterproblems-production-originals.s3.amazonaws.com/165_Antfood_JustBecause.wav,draXbreAicdAhNieioa3ebgsiCiC.mp3,Just Because (Original),73,"Magic & Fantasy,Babies"
167_Antfood_HappyClaps.wav,https://betterproblems-production-originals.s3.amazonaws.com/167_Antfood_HappyClaps.wav,dLcuedjtjGcogAiqfBgzhtf1hhfpauab.mp3,Happy Claps (Original),94,Kids
168_Antfood_ReXmas.wav,https://betterproblems-production-originals.s3.amazonaws.com/168_Antfood_ReXmas.wav,gvg1eDiza3cKf7h7b7arcPeujjddcthE.mp3,Re Xmas (Original),75,Swagger
170_Antfood_Sweaters.wav,https://betterproblems-production-originals.s3.amazonaws.com/170_Antfood_Sweaters.wav,duaHiUeMctf3bXcdgUgwcAf2jfjldzjv.mp3,Sweaters (Original),87,Kids
171_Antfood_LittleRock.wav,https://betterproblems-production-originals.s3.amazonaws.com/171_Antfood_LittleRock.wav,gGaZeNjIabiyiAg6imiEbJaVa4c3gpeP.mp3,Little Rock (Original),83,Kids
172_Antfood_OrangeAndBlue.wav,https://betterproblems-production-originals.s3.amazonaws.com/172_Antfood_OrangeAndBlue.wav,idjKcCaObJcEinbCgDbKhjhqgmi2axiG.mp3,Orange And Blue (Original),92,"Swagger,Nostalgia Evoking"
173_Antfood_Cheer.wav,https://betterproblems-production-originals.s3.amazonaws.com/173_Antfood_Cheer.wav,gAd5iAbbjGcnh7iGhgbAdnhQdZhna7bi.mp3,Cheer (Original),88,Christmas Time
174_Antfood_Fling.wav,https://betterproblems-production-originals.s3.amazonaws.com/174_Antfood_Fling.wav,gngyiIbYeUbQere5i3b6ivgeifcXgBhW.mp3,Fling (Original),58,Drama
UnknownClient_UnknownProject_Shadow_Original_221011_D_120_4-4_WB_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/UnknownClient_UnknownProject_Shadow_Original_221011_D_120_4-4_WB_NXT.wav,i7iwjvdajvi2btgxhYdXbecniJdTiujR.mp3,Shadow (Original),62,Magic & Fantasy
176_Antfood_Times.wav,https://betterproblems-production-originals.s3.amazonaws.com/176_Antfood_Times.wav,iegka8bXhFiuaheWhqc2dQfOeBj4ih.mp3,Times (Original),86,"Cinematic,Drama,Health & Beauty"
178_Antfood_Perry.wav,https://betterproblems-production-originals.s3.amazonaws.com/178_Antfood_Perry.wav,bPgbbkd8epjdfgjxbXd9eTiBcbbHbzic.mp3,Perry (30s),89,Apparel & Retail
179_Antfood_SurfKid.wav,https://betterproblems-production-originals.s3.amazonaws.com/179_Antfood_SurfKid.wav,gqeMcwbNhudQaKfSb4jbjvafeygHh3fT.mp3,Surf Kid (30s),74,"Comedy,Chase & Action,Spy"
FIVE_DIRTYTOES_080916_FIXEND_RW_190711.wav,https://betterproblems-production-originals.s3.amazonaws.com/FIVE_DIRTYTOES_080916_FIXEND_RW_190711.wav,bSeggiiLb8eQeBexfxbujujebxhyitay.mp3,Dirty Toes (Original),13,"Cars,Swagger,Sports,Fashion"
190_Antfood_StrangeNight.wav,https://betterproblems-production-originals.s3.amazonaws.com/190_Antfood_StrangeNight.wav,eMcpg1dvjgdCh6bAboaueGbNcua8bJam.mp3,Strange Night (Original),73,"Magic & Fantasy,Whimsical & Quirky,Drama"
191_Antfood_Sparingly.wav,https://betterproblems-production-originals.s3.amazonaws.com/191_Antfood_Sparingly.wav,hKb6eEahiWfwhbafhOdXgAiffqcMa5bg.mp3,Sparingly (Original),57,"Kids,Magic & Fantasy"
193_Antfood_Pencils_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/193_Antfood_Pencils_B.wav,iejOcAg2huiWhYfsb2ccc1d3gNiZgWbx.mp3,Pencils (Mellotron),66,Beach & Summer
193_Antfood_Pencils.wav,https://betterproblems-production-originals.s3.amazonaws.com/193_Antfood_Pencils.wav,eficjZbZgZbfbdawi8akadj4gWaCb4dr.mp3,Pencils (Lo-Fi Pop Punk),66,Swagger
195_Antfood_Rye.wav,https://betterproblems-production-originals.s3.amazonaws.com/195_Antfood_Rye.wav,dNejcRaMfUjnfvhValdraOgMfnfhieew.mp3,Rye (Original),56,Babies
196_Antfood_Salesman.wav,https://betterproblems-production-originals.s3.amazonaws.com/196_Antfood_Salesman.wav,gvcYjEfxbRfJezhhcXgedieZhaige5gR.mp3,Salesman (Original),85,"Music as Background,Adventure,Cars"
197_Antfood_Steam.wav,https://betterproblems-production-originals.s3.amazonaws.com/197_Antfood_Steam.wav,cGiojvaDfldpdEfsdYcaizeCalhmasiB.mp3,Steam (Original),73,"Babies,Health & Beauty,Pharma"
198_Antfood_Susquehana_LIBEDIT_FIXEND_RW_190626.wav,https://betterproblems-production-originals.s3.amazonaws.com/198_Antfood_Susquehana_LIBEDIT_FIXEND_RW_190626.wav,c1dbeLd6ekcOdcc4hmjrizi2cmidhEeO.mp3,Susquehana (Original),88,"Kids,Whimsical & Quirky"
200_Antfood_OptimistPrime.wav,https://betterproblems-production-originals.s3.amazonaws.com/200_Antfood_OptimistPrime.wav,eRemczdJgDctjqdEiyj4apepdYiwaLeI.mp3,Optimist Prime (Original),73,Technology
206_Antfood_TomBoy.wav,https://betterproblems-production-originals.s3.amazonaws.com/206_Antfood_TomBoy.wav,d8ckbwblfchyhqgidycqgsjLdPfBf8c2.mp3,Tomboy (Original),77,"Cars,Pharma"
208_Antfood_Ornaments.wav,https://betterproblems-production-originals.s3.amazonaws.com/208_Antfood_Ornaments.wav,ezfviPc6ixc5fadDjcjcf5bVcta9aziE.mp3,Ornaments (Original),65,"Drama,Cinematic"
209_Antfood_Abeja.wav,https://betterproblems-production-originals.s3.amazonaws.com/209_Antfood_Abeja.wav,dcbvcjefiubBdkbOfidJevbChGeebs.mp3,Abeja (Original),55,Kitsch & Elevator Muzik
211_Antfood_Frantic.wav,https://betterproblems-production-originals.s3.amazonaws.com/211_Antfood_Frantic.wav,eSaEhtgfgMfpdxdgamgAe1bnhnc7eTaf.mp3,Frantic (Original),68,"Magic & Fantasy,Chase & Action,Whimsical & Quirky"
212_Antfood_TheGoodLife.wav,https://betterproblems-production-originals.s3.amazonaws.com/212_Antfood_TheGoodLife.wav,f6hTgmjkeSfihdijb7gMeJdwgObwajhL.mp3,The Good Life (Original),85,Whimsical & Quirky
213_Antfood_Zabumba_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/213_Antfood_Zabumba_A.wav,egeYb5jGdLaLaJdVfKguc1gJixcBd4ck.mp3,Zabumba (Full Version),67,Cinematic
213_Antfood_Zabumba_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/213_Antfood_Zabumba_B.wav,htiohTi7h8fogMbqiFiBcQd8dEa2j3iT.mp3,Zabumba (Cut Down),67,Cinematic
215_Antfood_Charango_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/215_Antfood_Charango_A.wav,cEize8gygFiTfZj2hucriwdSjzb3gjgN.mp3,Charango (Stomp),87,"Carnaval,Western"
215_Antfood_Charango_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/215_Antfood_Charango_B.wav,cjeMcBiAgoibfYe2iNi1gNcPfBhJble5.mp3,Charango (Sparser Mix),87,"Whimsical & Quirky,Nostalgia Evoking"
216_Antfood_StringerBell.wav,https://betterproblems-production-originals.s3.amazonaws.com/216_Antfood_StringerBell.wav,b9d4cajTbXflbVj3bWbTdCanjcdMglh9.mp3,Stringer Bell (Original),55,"Sports,Cars"
217_Antfood_DanceDanceEvolution.wav,https://betterproblems-production-originals.s3.amazonaws.com/217_Antfood_DanceDanceEvolution.wav,hxiUdLhGd2c5cgcsc1gAjuawfIffbfay.mp3,Dance Dance Evolution (Original),69,"Sports,Swagger,Spy,Chase & Action,Cars"
219_Antfood_Dream.wav,https://betterproblems-production-originals.s3.amazonaws.com/219_Antfood_Dream.wav,ixdSa9iDd2cai5iBcRiMdHhmcwesfZhe.mp3,Dream (Original),57,Cinematic
BrightHallway_LibEdit.wav,https://betterproblems-production-originals.s3.amazonaws.com/BrightHallway_LibEdit.wav,cIfxcFbRh2jxjmcafRfOdPb5eLgZjgeM.mp3,Bright Hallway (Original),55,Tugging on Heartstrings
