,Filename,Recording_S3_LocationLink,Streamable_S3_Key,Recordings,brightness,bp.Conventions (from Recordings)
31,Brahma_Agricultores_Groo_LS_Ret.wav,https://betterproblems-production-originals.s3.amazonaws.com/Brahma_Agricultores_Groo_LS_Ret.wav,etjth9baihgbaTbUcFc9eFgwe7f1awan.mp3,Agricultores (Original),1,Cinematic
32,Peaches_Power_NoHurry_180221_LIB_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/Peaches_Power_NoHurry_180221_LIB_SC.wav,eJhtbWfzcvhRi1cAeXesgXe5jqgLflfM.mp3,No Hurry (Original),1,"Music as Background,Swagger,Fashion,Sports,Technology,Horror,Cinematic,Drama"
33,IBM_DreamItDone_HeavyHand_Extended_180129_LibEdit_RW_191001.wav,https://betterproblems-production-originals.s3.amazonaws.com/IBM_DreamItDone_HeavyHand_Extended_180129_LibEdit_RW_191001.wav,bhaBc6eEjyb5iRhZc6aTg3iui1bOaeiO.mp3,Heavy Hand (Extended),1,"Cars,Technology,Sports,Swagger,Chase & Action"
34,Ford_MustangThrillRide_BeyondTheDust_Original_230424_Cm_102_4-4_PB-CVV_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Ford_MustangThrillRide_BeyondTheDust_Original_230424_Cm_102_4-4_PB-CVV_NXT.wav,gqamhrbPgKb2eravhmaggJiCeghbbPir.mp3,Beyond The Dust (Original),1,Technology
35,AFSP_GLOBO_Familia_MiniMall_Longa_LS_122213_2p-01.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_GLOBO_Familia_MiniMall_Longa_LS_122213_2p-01.wav,h4i2ddfSiNaAaqhpiejIidfoiii7b8aE.mp3,Mini Mall (Original),1,"Horror,Cinematic,Drama"
36,CUPRA_StartYourEngine_Miracles_Original_211019_Em_124_4-4_PB.wav,https://betterproblems-production-originals.s3.amazonaws.com/CUPRA_StartYourEngine_Miracles_Original_211019_Em_124_4-4_PB.wav,ddhUdmjxhmeyita2ijhgdNiwfChKgsby.mp3,Miracles (Original),1,"Health & Beauty,Fashion,Drama,Sci-Fi,Technology"
37,Nike_CollegeFootball_Gridiron_102312_WB_Dm_150_4-4_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Nike_CollegeFootball_Gridiron_102312_WB_Dm_150_4-4_NXT.wav,dVeefrhgb6j4hQd2doa3dUhoghfVjT.mp3,Gridiron (102312),1,"Sports,Epic Heroes"
38,BRADY_GlassWalls_190219_LIB_WB_102_Aminjor.wav,https://betterproblems-production-originals.s3.amazonaws.com/BRADY_GlassWalls_190219_LIB_WB_102_Aminjor.wav,dhctd6aEc9ibj5ghfPfOalgObHf4e2bW.mp3,Glass Walls (A),1,"Drama,Swagger,Sci-Fi,Technology,Chase & Action"
39,AFSP_Lenovo_Surrounded_WildGroove_160225_16h_qt_VN.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_Lenovo_Surrounded_WildGroove_160225_16h_qt_VN.wav,bnfheVfSfNidaEe8h6bNaXfTjVajiLbU.mp3,Wild Groove (Short Mix),1,"Sports,Cars,Swagger,Chase & Action,Technology"
40,Enphase_SunShape_HelioPhillip_Original_211021_E_90_4-4_BE_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Enphase_SunShape_HelioPhillip_Original_211021_E_90_4-4_BE_NXT.wav,euiMgUbHb7ize8bnj9bXbXfdfxiGc9b5.mp3,Helio Phillip (Original),1,"Technology,Sci-Fi"
41,AFSP_SAMSUNG_GalaxyA_SpeedingFeast_170124_qt_VN.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_SAMSUNG_GalaxyA_SpeedingFeast_170124_qt_VN.wav,iCgOfQgPaacQdkcmfJiFcuhjdMc3hZhY.mp3,Speeding Feast (Original),1,"Swagger,Chase & Action,Drama,Magic & Fantasy"
42,102_Antfood_PigFarmer.wav,https://betterproblems-production-originals.s3.amazonaws.com/102_Antfood_PigFarmer.wav,eTgth8cjhjdJabcicFg9eRcca8e6fnab.mp3,Pig Farmer (Original),1,"Comedy,Fashion,Cinematic,Whimsical & Quirky,Magic & Fantasy"
43,17151019_Gillette_Moonraker_Spang_160502_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151019_Gillette_Moonraker_Spang_160502_qt.wav,ireNhVdecfcPiQeUjUdqg8f1e9gmg6bz.mp3,Spang (Original),1,"Chase & Action,Technology,Whimsical & Quirky,Sci-Fi"
44,20-3190_LIC_Fila_Filme_GuiAraujo_OneFoot_LB_Gm_4_4_95bpm_210302_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/20-3190_LIC_Fila_Filme_GuiAraujo_OneFoot_LB_Gm_4_4_95bpm_210302_qt.wav,bUiEhYiVhLc7jJj3dJfEjMgPj3dWgSem.mp3,One Foot (Original ),1,"Sports,Swagger"
45,17151013_Gilette_Moonraker_5Miles_160502_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151013_Gilette_Moonraker_5Miles_160502_qt.wav,ipcMgCfxeQglbMaBhda7eocEhkjOgOgo.mp3,5 Miles (Original),1,"Cars,Fashion,Technology,Drama,Chase & Action"
46,Carnival_SwaggerBoatTrilledUp_171110_np.wav,https://betterproblems-production-originals.s3.amazonaws.com/Carnival_SwaggerBoatTrilledUp_171110_np.wav,fnf7fBe5i6d3gQi6bMgmahjoaIhJhvhj.mp3,Swagger Boat Trilled Up (Original),1,"Swagger,Epic Heroes,Chase & Action"
47,17150681_AICP_2017Titles_Blausee.wav,https://betterproblems-production-originals.s3.amazonaws.com/17150681_AICP_2017Titles_Blausee.wav,csjMdAabgadodbfpdBdliBeuhEeFdOiS.mp3,Blausee (Original),1,"Sports,Cars,Cinematic,Magic & Fantasy,Trailer"
48,1028 Yasamak.wav,https://betterproblems-production-originals.s3.amazonaws.com/1028+Yasamak.wav,ebi9g4aSe8aegTa3asc2dhjMjXcYeOdu.mp3,Yaşamak (Original),1,"Drama,Comedy,Cinematic,Magic & Fantasy"
49,TDTWC_Music_Twincents+_180415_LIB_WB.wav,https://betterproblems-production-originals.s3.amazonaws.com/TDTWC_Music_Twincents%2B_180415_LIB_WB.wav,cweIbsiSgZf8iycHb3chdziWeNajbzbn.mp3,Twincents (Original),1,"Drama,Sci-Fi,Horror,Cinematic"
50,LANDR-02 Untochable-Balanced-High.wav,https://betterproblems-production-originals.s3.amazonaws.com/LANDR-02+Untochable-Balanced-High.wav,fcfNdedkdScqbSfEgzeqh9bXhwayinjC.mp3,Untochable Modulus (Extended Mix),1,"Music as Background,Sci-Fi"
51,BritishArmy_Emotions_Bayleaf_MUS_180213_LIB_YE.wav,https://betterproblems-production-originals.s3.amazonaws.com/BritishArmy_Emotions_Bayleaf_MUS_180213_LIB_YE.wav,f8jlfhbZbJh3c2ayaRhfgUhyiVgFimdd.mp3,Bayleaf (Original),1,"Drama,Trailer"
52,BattlescarVR_BackgroundDrumFill_171220_LIB_WB.wav,https://betterproblems-production-originals.s3.amazonaws.com/BattlescarVR_BackgroundDrumFill_171220_LIB_WB.wav,g5ikjodqd9iJfba6ehdHj1gLb8gEd7cd.mp3,Background Check (Drum Fill),1,"Epic Heroes,Swagger"
53,AFSP_TNT_UFC_TheGiantBeast_141212_qt_VN.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_TNT_UFC_TheGiantBeast_141212_qt_VN.wav,hJdhcKg1jhjkjMiDingagngYjgg3ev.mp3,The Giant Beast (Original),1,"Swagger,Sports,Cars,Drama,Chase & Action"
54,Line_NewsAwards_Ventriloquist_Original_201027_Gm_105_4-4_YE+YEVox+SampledVox.wav,https://betterproblems-production-originals.s3.amazonaws.com/Line_NewsAwards_Ventriloquist_Original_201027_Gm_105_4-4_YE%2BYEVox%2BSampledVox.wav,iubtbUiOdLfdbwfxhEa6iWaAaNesgkiA.mp3,Ventriloquist (Original),1,"Cars,Technology,Cinematic,Chase & Action,Sports"
55,17150686_AICPNEXT_PulsesTest_170519_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17150686_AICPNEXT_PulsesTest_170519_qt.wav,ekd2gsdSg9hQaNjuitiOaTgdeQd1ctfk.mp3,Pulses Test (Original),1,"Cinematic,Sci-Fi,Technology,Horror"
56,17150723_Arla_Xanthan_Trifocals_MUS_170317_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17150723_Arla_Xanthan_Trifocals_MUS_170317_qt.wav,encKgxiJhzehigcfj4dCcqhDdbcngtbo.mp3,Trifocals (Original),1,"Cinematic,Drama,Chase & Action,Sci-Fi"
57,Microsoft_SunValley_VeritasAndHerMirror_Instrumental_210519_Dbm_110_4-4_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Microsoft_SunValley_VeritasAndHerMirror_Instrumental_210519_Dbm_110_4-4_NXT.wav,dobrehetayf6iRcoe1gmdngUeadIcufv.mp3,Veritas And Her Mirror (Instrumental),1,"Swagger,Fashion"
58,1503 Vitrola.wav,https://betterproblems-production-originals.s3.amazonaws.com/1503+Vitrola.wav,dRgkatf5cudHfFiqikgDiZdriBakcXdW.mp3,Vitrola (Original),1,"Sports,Cars,Swagger,Comedy"
59,Cobra_Speedzone_Commander_Product_200204_A_120_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/Cobra_Speedzone_Commander_Product_200204_A_120_SC.wav,hjbEdXhQjgcqiqieiyhLhaezeTcHhcds.mp3,Commander (Original),1,"Cars,Fashion,Chase & Action,Horror,Cinematic,Epic Heroes"
60,AFSP_LIC_Ford_BlackFriday_TheMansion_LB_181026_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_LIC_Ford_BlackFriday_TheMansion_LB_181026_qt.wav,cqcjfQhJfUaKbGhadkiyejjiiIgYhCj1.mp3,The Mansion (Original),1,"Drama,Sports,Trailer,Epic Heroes,Cinematic"
61,17151119_Gravity_Intro_MUSonly_OP2_073013_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151119_Gravity_Intro_MUSonly_OP2_073013_qt.wav,bGbKehbTaKfyfBi5gViLi1jgg6iDgG.mp3,Crescendon't (B),1,"Cinematic,Drama,Magic & Fantasy,Sci-Fi,Chase & Action"
62,1341 Spy#09.wav,https://betterproblems-production-originals.s3.amazonaws.com/1341+Spy%2309.wav,gBb3iBb2iibThththSePiqchiNe7dGju.mp3,Spy #09 (Original),1,"Comedy,Chase & Action,Spy"
63,17150899_EuroWax_Manifesto_Sol_Instrumental_112013_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17150899_EuroWax_Manifesto_Sol_Instrumental_112013_qt.wav,eqhydIgzdOg9hcdVcsezffeXfCjHhdiG.mp3,Sol (Instrumental),1,"Cars,Swagger,Magic & Fantasy"
64,Robinhood_Dawn_AlsoSprachZarathustra_SpaghettiWesternSynth_221014_D_120_4-4_RichardStrauss-SC_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Robinhood_Dawn_AlsoSprachZarathustra_SpaghettiWesternSynth_221014_D_120_4-4_RichardStrauss-SC_NXT.wav,hegJdgbybwdVeufyapb1aweejjgBbpgq.mp3,Also Sprach Zarathustra (Spaghetti Western Synth),1,"Corporate Manifesto,Epic Heroes,Western"
65,Amazon_Bestiary_MantaRay_Cloak_191219_E_80_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/Amazon_Bestiary_MantaRay_Cloak_191219_E_80_SC.wav,bGaFgkjhcHgaj2eCbIcHd7epfpccfTfa.mp3,Cloak (Original),1,"Music as Background,Technology,Cinematic,Magic & Fantasy,Sci-Fi"
66,BPEpisodicScores_TechnoParanoia_NullPerception_Original_230814_Cm_120_4-4_YE_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/BPEpisodicScores_TechnoParanoia_NullPerception_Original_230814_Cm_120_4-4_YE_NXT.wav,cMfIcAiVcBevdzcNiEcHcFhof9c2iEf8.mp3,Null Perception (Original),1,"Drama,Technology"
67,Google_DefendTheUser_Sentry_Original_220908_Dm_150_4-4_RW_Ensemble.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_Sentry_Original_220908_Dm_150_4-4_RW_Ensemble.wav,fvf1fjeVavgNaJgjembCfud1ixgDgCi3.mp3,Sentry (Original),1,"Drama,Cinematic,Music as Background,Chase & Action,Adventure,Spy,Trailer"
68,943 Method.wav,https://betterproblems-production-originals.s3.amazonaws.com/943+Method.wav,fVe9iChRgBcljIiBdygCgLaGdbbEa9.mp3,Method (Original),1,"Cars,Technology,Drama"
69,Google_DefendTheUser_TheItchYouCantScratch_Original_220912_Key_120_4-4_YE_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_TheItchYouCantScratch_Original_220912_Key_120_4-4_YE_NXT.wav,h7dxgfcqe5dFcDczhRcka1ihdefmezjL.mp3,The Itch You Cant Scratch (Original),1,"Horror,Music as Background,Whimsical & Quirky"
70,1657 Marquee.wav,https://betterproblems-production-originals.s3.amazonaws.com/1657+Marquee.wav,fIi8aPdGckavfvf5jjbifPbNiLjUfgaM.mp3,Marquee (Vocals),1,"Swagger,Health & Beauty"
71,CBS_LocalNewsStationRebrand_OnMain_Original_221222_Bm_86_4-4_BE_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/CBS_LocalNewsStationRebrand_OnMain_Original_221222_Bm_86_4-4_BE_NXT.wav,cSgudPaji3dNfufqbpbwfcfujEifghbJ.mp3,On Main (Original),1,Swagger
72,AICP_MainTitles2018_Vernacular_180713_LIB_YE.wav,https://betterproblems-production-originals.s3.amazonaws.com/AICP_MainTitles2018_Vernacular_180713_LIB_YE.wav,cSj7hscQdScSdhjyj2jYcybhf3g9idbn.mp3,Vernacular (Original),1,"Fashion,Technology"
73,BP_ModernHipHop_DirtySturdy_Original_230606_Dm_166_4-4_LHS_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/BP_ModernHipHop_DirtySturdy_Original_230606_Dm_166_4-4_LHS_NXT.wav,bmigbffmbDjgaXixdpdvbQcZbIeFeshq.mp3,Dirty Sturdy (Original),1,"Nightlife & Alcohol,Sexy & Seductive,Sports,Apparel & Retail,Cinematic,Swagger"
74,Google_DefendTheUser_StringThreat_Original_220912_Cm_128_4-4_LB-RW_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_StringThreat_Original_220912_Cm_128_4-4_LB-RW_NXT.wav,exfaefb7bMemgBejaNiJjScieDcCgNhY.mp3,String Threat (Original),1,"Cinematic,Music as Background,Case Study,Technology"
75,AFSP_RioPinheiros_Teaser_IceDragon_LS_170914_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_RioPinheiros_Teaser_IceDragon_LS_170914_qt.wav,g3bFaRfhapbaaujYh2fGeXaQeGjpiTbR.mp3,Ice Dragon (Original),1,"Cinematic,Magic & Fantasy,Technology"
76,TW_HudsonYards_Hotlines_Ouranos_Drone_KnightTime_181022_LIB_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/TW_HudsonYards_Hotlines_Ouranos_Drone_KnightTime_181022_LIB_SC.wav,evccjQcAdVjIikeShRiBffc6jzitfFdh.mp3,Knight Time (Original),1,"Music as Background,Cinematic,Horror,Magic & Fantasy,Sci-Fi"
77,17151569_Syfy_CabbagePatch_Ondes_141010_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151569_Syfy_CabbagePatch_Ondes_141010_qt.wav,dybtaKj4hfblgajkeZi5e4cQa8jsei.mp3,Ondes (Original),1,"Cinematic,Sci-Fi,Horror"
78,149_Antfood_Ogres.wav,https://betterproblems-production-originals.s3.amazonaws.com/149_Antfood_Ogres.wav,cSbueciXhYgSj7iRiyfwgGiEjUjMc2ig.mp3,Ogres (Original),1,"Comedy,Cinematic,Epic Heroes,Drama,Chase & Action"
79,Google_DefendTheUser_Flare_Original_220913_Am_144_4-4_RW_RWCello.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_Flare_Original_220913_Am_144_4-4_RW_RWCello.wav,eScRi2e2iQdYj4gLbibMgMjCj7cpjFfu.mp3,Flare (Original),1,"Cinematic,Adventure,Swagger,Sports,Technology,Chase & Action,Drama,Epic Heroes,Magic & Fantasy,Spy,Trailer"
80,1025_Titan.wav,https://betterproblems-production-originals.s3.amazonaws.com/1025_Titan.wav,hzagchfYeubGdTimgNgVjLjHiGeniv.mp3,Titan (Original),1,"Cinematic,Magic & Fantasy,Sci-Fi"
81,SPATEN_IMC_GreasyElbows_Original_220821_Em_150bpm_4_4_VN_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/SPATEN_IMC_GreasyElbows_Original_220821_Em_150bpm_4_4_VN_NXT.wav,cAexaYgFhFb7iAf1dybDgccCaufiae.mp3,Greasy Elbows (Big Rock Remix),1,Cars
82,17150715_Arla_Xanthan_Bebe_MUS_170317_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17150715_Arla_Xanthan_Bebe_MUS_170317_qt.wav,doiIbQhrbNjPdThkh6friDcxbHelhDbQ.mp3,Bebe (Original),1,"Whimsical & Quirky,Magic & Fantasy,Sci-Fi,Horror,Technology"
83,Google_DefendTheUser_CarolOfTheBells_Arrangement_220909_Gm_180_4-4_RW_StringQuintet.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_CarolOfTheBells_Arrangement_220909_Gm_180_4-4_RW_StringQuintet.wav,bMjXfne2jZbdiDgIifhHaHeZhPdnhuai.mp3,Carol Of The Bells (Arrangement),1,"Whimsical & Quirky,Comedy,Magic & Fantasy"
84,BP_Collections2022_CurriculaCinematica_Dalet_Original_230420_F_120_4-4_ZG_SATBEnsemble.wav,https://betterproblems-production-originals.s3.amazonaws.com/BP_Collections2022_CurriculaCinematica_Dalet_Original_230420_F_120_4-4_ZG_SATBEnsemble.wav,cAdPjKhwb8cAbFbXidgYhYeNjqjPe4aM.mp3,Dalet (Original),1,"Horror,Drama"
85,729 Bulls.wav,https://betterproblems-production-originals.s3.amazonaws.com/729+Bulls.wav,bBdhiXctgDfKgSeNfThhhDaBiPhmjhgn.mp3,Stark (Bulls Remix),1,"Sports,Cars,Technology"
