recording,audio_path,s3-key,temp
House On A Hill (A),/home/pedro/dev/antfood/percussive-gen/data/audio/101_Antfood_HouseOnAHill_A.wav,101_Antfood_HouseOnAHill_A.wav,15
House On A Hill (B),/home/pedro/dev/antfood/percussive-gen/data/audio/101_Antfood_HouseOnAHill_B.wav,101_Antfood_HouseOnAHill_B.wav,15
Pig Farmer (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/102_Antfood_PigFarmer.wav,102_Antfood_PigFarmer.wav,21
Dimly (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/103_Antfood_Dimly.wav,103_Antfood_Dimly.wav,35
Fall Day (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/104_Antfood_FallDay.wav,104_Antfood_FallDay.wav,90
Filthy Rich (A),/home/pedro/dev/antfood/percussive-gen/data/audio/105_Antfood_FilthyRich_A.wav,105_Antfood_FilthyRich_A.wav,40
Filthy Rich (B),/home/pedro/dev/antfood/percussive-gen/data/audio/105_Antfood_FilthyRich_B.wav,105_Antfood_FilthyRich_B.wav,40
Night Desert (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/106_Antfood_NightDesert.wav,106_Antfood_NightDesert.wav,48
Empty Sun (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/107_Antfood_EmptySun.wav,107_Antfood_EmptySun.wav,76
Swiss Cheese Baby (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/108_Antfood_SwissCheeseBaby.wav,108_Antfood_SwissCheeseBaby.wav,72
Mary Carlos (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/110_Antfood_MaryCarlos.wav,110_Antfood_MaryCarlos.wav,85
Betelgeuse (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/111_Antfood_Betelgeuse.wav,111_Antfood_Betelgeuse.wav,76
Habana (A),/home/pedro/dev/antfood/percussive-gen/data/audio/112_Antfood_Habana_A.wav,112_Antfood_Habana_A.wav,76
Habana (B),/home/pedro/dev/antfood/percussive-gen/data/audio/112_Antfood_Habana_B.wav,112_Antfood_Habana_B.wav,76
Marble Halls (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/113_Antfood_MarbleHalls.wav,113_Antfood_MarbleHalls.wav,71
Ponte Preta (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/114_Antfood_PontePreta.wav,114_Antfood_PontePreta.wav,35
Romper Room (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/115_Antfood_RomperRoom.wav,115_Antfood_RomperRoom.wav,15
Honey (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/116_Antfood_Honey.wav,116_Antfood_Honey.wav,85
Lake Superior (Instrumental),/home/pedro/dev/antfood/percussive-gen/data/audio/117_Antfood_LakeSuperior_A.wav,117_Antfood_LakeSuperior_A.wav,87
Lake Superior (Vocoded Vocals),/home/pedro/dev/antfood/percussive-gen/data/audio/117_Antfood_LakeSuperior_B.wav,117_Antfood_LakeSuperior_B.wav,82
Moog  Aria (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/118_Antfood_MoogAria.wav,118_Antfood_MoogAria.wav,68
Roboland (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/119_Antfood_Roboland.wav,119_Antfood_Roboland.wav,57
Clair De Lune (Cover),/home/pedro/dev/antfood/percussive-gen/data/audio/120_Antfood_Squared.wav,120_Antfood_Squared.wav,85
Spiders (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/121_Antfood_Spiders.wav,121_Antfood_Spiders.wav,73
Easy (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/122_Antfood_Easy.wav,122_Antfood_Easy.wav,86
Dirty Party (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/123_Antfood_DirtyParty.wav,123_Antfood_DirtyParty.wav,59
Werewolves (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/124_Antfood_Werewolves.wav,124_Antfood_Werewolves.wav,62
Community (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/125_Antfood_Community.wav,125_Antfood_Community.wav,65
Salty Chicken (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/126_Antfood_SaltyChicken.wav,126_Antfood_SaltyChicken.wav,85
Milk Crate (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/127_Antfood_MilkCrate.wav,127_Antfood_MilkCrate.wav,46
City Streets (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/128_Antfood_CityStreets.wav,128_Antfood_CityStreets.wav,80
Down The Hall (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/129_Antfood_DownTheHall.wav,129_Antfood_DownTheHall.wav,85
Doctor Pants (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/130_Antfood_DoctorPants.wav,130_Antfood_DoctorPants.wav,68
Boots (Instrumental),/home/pedro/dev/antfood/percussive-gen/data/audio/131_Antfood_Boots_A.wav,131_Antfood_Boots_A.wav,61
Boots (Female Vocals),/home/pedro/dev/antfood/percussive-gen/data/audio/131_Antfood_Boots_B.wav,131_Antfood_Boots_B.wav,61
You Know I Want You (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/132_Antfood_YouKnowIWantYou.wav,132_Antfood_YouKnowIWantYou.wav,35
Chinelas (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/133_Antfood_Chinelas.wav,133_Antfood_Chinelas.wav,61
Crumbs (Long),/home/pedro/dev/antfood/percussive-gen/data/audio/135_Antfood_Crumbs.wav,135_Antfood_Crumbs.wav,90
Party People (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/137_Antfood_PartyPeople.wav,137_Antfood_PartyPeople.wav,66
Grapefruit (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/138_Antfood_Grapefruit.wav,138_Antfood_Grapefruit.wav,82
Slippers (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/140_Antfood_Slippers.wav,140_Antfood_Slippers.wav,86
Old Friends (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/141_Antfood_OldFriends_LIBEDIT_FIXEND_RW_190626.wav,141_Antfood_OldFriends_LIBEDIT_FIXEND_RW_190626.wav,85
Sunday Paper (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/142_Antfood_SundayPaper.wav,142_Antfood_SundayPaper.wav,74
Route 39 (A),/home/pedro/dev/antfood/percussive-gen/data/audio/143_Antfood_Route39_A.wav,143_Antfood_Route39_A.wav,64
Route 39 (B),/home/pedro/dev/antfood/percussive-gen/data/audio/143_Antfood_Route39_B.wav,143_Antfood_Route39_B.wav,64
Ghost Town (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/145_Antfood_GhostTown.wav,145_Antfood_GhostTown.wav,44
Perpetual Motion (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/146_Antfood_PerpetualMotion.wav,146_Antfood_PerpetualMotion.wav,35
Tick Tock (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/147_Antfood_TickTock.wav,147_Antfood_TickTock.wav,97
Professor Bill (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/148_Antfood_ProfessorBill.wav,148_Antfood_ProfessorBill.wav,72
Ogres (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/149_Antfood_Ogres.wav,149_Antfood_Ogres.wav,47
Lucid Fable (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/150_Amway_FairyTale_012210_LIBEDIT_FIXEND_RW_190626.wav,150_Amway_FairyTale_012210_LIBEDIT_FIXEND_RW_190626.wav,78
That's Hot (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/151_Antfood_ThatsHot.wav,151_Antfood_ThatsHot.wav,52
Espanhola (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/155_Antfood_Espanhola.wav,155_Antfood_Espanhola.wav,77
Fidelidade (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/156_Antfood_Fidelidade.wav,156_Antfood_Fidelidade.wav,75
Forrozão (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/157_Antfood_Forrozao.wav,157_Antfood_Forrozao.wav,57
Rikki (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/161_Antfood_Rikki.wav,161_Antfood_Rikki.wav,75
Sacudin (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/162_Antfood_Sacudin.wav,162_Antfood_Sacudin.wav,70
Elusive Beats (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/163_Antfood_ElusiveBeats.wav,163_Antfood_ElusiveBeats.wav,66
Family Time (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/164_Antfood_FamilyTime.wav,164_Antfood_FamilyTime.wav,66
Just Because (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/165_Antfood_JustBecause.wav,165_Antfood_JustBecause.wav,70
Happy Claps (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/167_Antfood_HappyClaps.wav,167_Antfood_HappyClaps.wav,78
Re Xmas (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/168_Antfood_ReXmas.wav,168_Antfood_ReXmas.wav,59
Sweaters (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/170_Antfood_Sweaters.wav,170_Antfood_Sweaters.wav,76
Little Rock (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/171_Antfood_LittleRock.wav,171_Antfood_LittleRock.wav,78
Orange And Blue (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/172_Antfood_OrangeAndBlue.wav,172_Antfood_OrangeAndBlue.wav,75
Cheer (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/173_Antfood_Cheer.wav,173_Antfood_Cheer.wav,76
Fling (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/174_Antfood_Fling.wav,174_Antfood_Fling.wav,15
Shadow (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/UnknownClient_UnknownProject_Shadow_Original_221011_D_120_4-4_WB_NXT.wav,UnknownClient_UnknownProject_Shadow_Original_221011_D_120_4-4_WB_NXT.wav,34
Times (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/176_Antfood_Times.wav,176_Antfood_Times.wav,86
Perry (30s),/home/pedro/dev/antfood/percussive-gen/data/audio/178_Antfood_Perry.wav,178_Antfood_Perry.wav,85
Surf Kid (30s),/home/pedro/dev/antfood/percussive-gen/data/audio/179_Antfood_SurfKid.wav,179_Antfood_SurfKid.wav,76
Dirty Toes (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/FIVE_DIRTYTOES_080916_FIXEND_RW_190711.wav,FIVE_DIRTYTOES_080916_FIXEND_RW_190711.wav,38
Strange Night (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/190_Antfood_StrangeNight.wav,190_Antfood_StrangeNight.wav,76
Sparingly (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/191_Antfood_Sparingly.wav,191_Antfood_Sparingly.wav,60
Pencils (Mellotron),/home/pedro/dev/antfood/percussive-gen/data/audio/193_Antfood_Pencils_B.wav,193_Antfood_Pencils_B.wav,85
Pencils (Lo-Fi Pop Punk),/home/pedro/dev/antfood/percussive-gen/data/audio/193_Antfood_Pencils.wav,193_Antfood_Pencils.wav,85
Rye (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/195_Antfood_Rye.wav,195_Antfood_Rye.wav,85
Salesman (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/196_Antfood_Salesman.wav,196_Antfood_Salesman.wav,87
Steam (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/197_Antfood_Steam.wav,197_Antfood_Steam.wav,85
Susquehana (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/198_Antfood_Susquehana_LIBEDIT_FIXEND_RW_190626.wav,198_Antfood_Susquehana_LIBEDIT_FIXEND_RW_190626.wav,84
Optimist Prime (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/200_Antfood_OptimistPrime.wav,200_Antfood_OptimistPrime.wav,66
Tomboy (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/206_Antfood_TomBoy.wav,206_Antfood_TomBoy.wav,91
Ornaments (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/208_Antfood_Ornaments.wav,208_Antfood_Ornaments.wav,63
Abeja (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/209_Antfood_Abeja.wav,209_Antfood_Abeja.wav,68
Frantic (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/211_Antfood_Frantic.wav,211_Antfood_Frantic.wav,31
The Good Life (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/212_Antfood_TheGoodLife.wav,212_Antfood_TheGoodLife.wav,85
Zabumba (Full Version),/home/pedro/dev/antfood/percussive-gen/data/audio/213_Antfood_Zabumba_A.wav,213_Antfood_Zabumba_A.wav,68
Zabumba (Cut Down),/home/pedro/dev/antfood/percussive-gen/data/audio/213_Antfood_Zabumba_B.wav,213_Antfood_Zabumba_B.wav,68
Charango (Stomp),/home/pedro/dev/antfood/percussive-gen/data/audio/215_Antfood_Charango_A.wav,215_Antfood_Charango_A.wav,88
Charango (Sparser Mix),/home/pedro/dev/antfood/percussive-gen/data/audio/215_Antfood_Charango_B.wav,215_Antfood_Charango_B.wav,88
Stringer Bell (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/216_Antfood_StringerBell.wav,216_Antfood_StringerBell.wav,70
Dance Dance Evolution (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/217_Antfood_DanceDanceEvolution.wav,217_Antfood_DanceDanceEvolution.wav,76
Dream (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/219_Antfood_Dream.wav,219_Antfood_Dream.wav,62
Bright Hallway (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/BrightHallway_LibEdit.wav,BrightHallway_LibEdit.wav,69
Destruction (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/221_Antfood_Destruction.wav,221_Antfood_Destruction.wav,88
Magic (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/222_Antfood_Magic.wav,222_Antfood_Magic.wav,82
Float (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/223_Antfood_Float.wav,223_Antfood_Float.wav,26
Week (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/224_Antfood_Week.wav,224_Antfood_Week.wav,57
Joystick (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/225_Antfood_Joystick.wav,225_Antfood_Joystick.wav,15
Bouncing Things (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/226_Antfood_BouncingThings.wav,226_Antfood_BouncingThings.wav,84
Bump (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/228_Antfood_Bump.wav,228_Antfood_Bump.wav,65
Martini (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/229_Antfood_Martini.wav,229_Antfood_Martini.wav,37
South By Southeast (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/230_Antfood_SouthBySoutheast.wav,230_Antfood_SouthBySoutheast.wav,28
Rezzident (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/231_Antfood_Rezzident.wav,231_Antfood_Rezzident.wav,39
Bay Area Chase (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/232_Antfood_BayAreaChase.wav,232_Antfood_BayAreaChase.wav,19
No Fool (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/234_Antfood_NoFool.wav,234_Antfood_NoFool.wav,85
Figs (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/236_Antfood_Figs.wav,236_Antfood_Figs.wav,79
Sophistaphone (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/237_Antfood_Sophistaphone.wav,237_Antfood_Sophistaphone.wav,63
Whistle (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/238_Antfood_Whistle.wav,238_Antfood_Whistle.wav,85
Mandolinha (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/239_Antfood_Mandolinha.wav,239_Antfood_Mandolinha.wav,88
Highlighter (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/240_Antfood_Highlighter.wav,240_Antfood_Highlighter.wav,80
Baseball (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/242_Antfood_Baseball.wav,242_Antfood_Baseball.wav,69
Stealing Home (A),/home/pedro/dev/antfood/percussive-gen/data/audio/243_Antfood_StealingHome_A.wav,243_Antfood_StealingHome_A.wav,86
Stealing Home (B),/home/pedro/dev/antfood/percussive-gen/data/audio/243_Antfood_StealingHome_B.wav,243_Antfood_StealingHome_B.wav,86
Pony (OG),/home/pedro/dev/antfood/percussive-gen/data/audio/245_Antfood_Pony_A.wav,245_Antfood_Pony_A.wav,55
Pony (Alterrnate Mix),/home/pedro/dev/antfood/percussive-gen/data/audio/245_Antfood_Pony_B.wav,245_Antfood_Pony_B.wav,74
Up And At Em (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/246_Antfood_UpAndAtEm.wav,246_Antfood_UpAndAtEm.wav,79
Walking Around (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/247_Antfood_WalkingAround.wav,247_Antfood_WalkingAround.wav,70
Sky Clouds (A),/home/pedro/dev/antfood/percussive-gen/data/audio/248_Antfood_SkyClouds_A.wav,248_Antfood_SkyClouds_A.wav,74
Sky Clouds (B),/home/pedro/dev/antfood/percussive-gen/data/audio/248_Antfood_SkyClouds_B.wav,248_Antfood_SkyClouds_B.wav,74
Bixiga (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/249_Antfood_Bixiga.wav,249_Antfood_Bixiga.wav,59
Dreamsville (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/250_Antfood_Dreamsville.wav,250_Antfood_Dreamsville.wav,86
Devils (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/251_Antfood_Devils.wav,251_Antfood_Devils.wav,86
Infomercial (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/252_Antfood_Infomercial.wav,252_Antfood_Infomercial.wav,68
Banger (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/258_Antfood_Banger.wav,258_Antfood_Banger.wav,52
Warriors (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/259_Antfood_Warriors.wav,259_Antfood_Warriors.wav,22
Rebuild (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/260_Antfood_Rebuild.wav,260_Antfood_Rebuild.wav,44
Stomp (A),/home/pedro/dev/antfood/percussive-gen/data/audio/261_Antfood_Stomp.wav,261_Antfood_Stomp.wav,15
Franck (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/262_Antfood_Franck.wav,262_Antfood_Franck.wav,81
Stutter (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/263_Antfood_Stutter.wav,263_Antfood_Stutter.wav,62
Drop And Go (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/264_Antfood_DropAndGo.wav,264_Antfood_DropAndGo.wav,61
Red Sauce (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/265_Antfood_RedSauce.wav,265_Antfood_RedSauce.wav,52
Power Hitter (Extended Mix),/home/pedro/dev/antfood/percussive-gen/data/audio/266_Antfood_PowerHitter_A.wav,266_Antfood_PowerHitter_A.wav,46
Power Hitter (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/266_Antfood_PowerHitter_B.wav,266_Antfood_PowerHitter_B.wav,46
Providence (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/267_Antfood_Providence.wav,267_Antfood_Providence.wav,49
Chuck Knows (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/268_Antfood_ChuckKnows.wav,268_Antfood_ChuckKnows.wav,72
Brucke (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/269_Antfood_Brucke.wav,269_Antfood_Brucke.wav,77
Autumn (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/271_Antfood_Autumn.wav,271_Antfood_Autumn.wav,85
Freuen (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/272_Antfood_Freuen.wav,272_Antfood_Freuen.wav,80
Kronung (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/273_Antfood_Kronung.wav,273_Antfood_Kronung.wav,44
The Door (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/276_Antfood_TheDoor.wav,276_Antfood_TheDoor.wav,86
Prisoner (A),/home/pedro/dev/antfood/percussive-gen/data/audio/277_Antfood_Prisoner_A.wav,277_Antfood_Prisoner_A.wav,79
Prisoner (B.wav),/home/pedro/dev/antfood/percussive-gen/data/audio/277_Antfood_Prisoner_B.wav,277_Antfood_Prisoner_B.wav,79
The Valley (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/279_Antfood_TheValley.wav,279_Antfood_TheValley.wav,85
Dinner Time (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/280_Antfood_DinnerTime.wav,280_Antfood_DinnerTime.wav,47
Olney (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/281_Antfood_Olney.wav,281_Antfood_Olney.wav,66
So Cute (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/282_Antfood_SoCute.wav,282_Antfood_SoCute.wav,62
Leaf (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/284_Antfood_Leaf.wav,284_Antfood_Leaf.wav,68
Railroad Ties (Extended),/home/pedro/dev/antfood/percussive-gen/data/audio/285_Antfood_RailroadTies_A.wav,285_Antfood_RailroadTies_A.wav,66
Railroad Ties (Original Theme),/home/pedro/dev/antfood/percussive-gen/data/audio/285_Antfood_RailroadTies_B.wav,285_Antfood_RailroadTies_B.wav,66
Rainbows (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/286_Antfood_Rainbows.wav,286_Antfood_Rainbows.wav,85
Sarah (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/287_Antfood_Sarah.wav,287_Antfood_Sarah.wav,85
Just Right (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/288_Antfood_JustRight.wav,288_Antfood_JustRight.wav,85
Opposites (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/289_Antfood_Opposites.wav,289_Antfood_Opposites.wav,82
Holding Hands (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/290_Antfood_HoldingHands.wav,290_Antfood_HoldingHands.wav,85
Pretending (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/291_Antfood_Pretending.wav,291_Antfood_Pretending.wav,85
Benches (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/292_Antfood_Benches.wav,292_Antfood_Benches.wav,85
Bradley (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/293_Antfood_Bradley.wav,293_Antfood_Bradley.wav,52
Ascendance (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/295_Antfood_Ascendance.wav,295_Antfood_Ascendance.wav,19
Velocomante (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/298_Antfood_Commander.wav,298_Antfood_Commander.wav,25
Goreme (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/300_Antfood_Goreme.wav,300_Antfood_Goreme.wav,15
Irae (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/301_Antfood_Irae.wav,301_Antfood_Irae.wav,15
Kayseri (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/302_Antfood_Kayseri.wav,302_Antfood_Kayseri.wav,56
Ochre (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/303_Antfood_Ochre.wav,303_Antfood_Ochre.wav,15
Scaffold (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/304_Antfood_Scaffold.wav,304_Antfood_Scaffold.wav,65
Tines (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/305_Antfood_Tines.wav,305_Antfood_Tines.wav,63
Ulsichar (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/306_Antfood_Ulsichar.wav,306_Antfood_Ulsichar.wav,30
Glow (A),/home/pedro/dev/antfood/percussive-gen/data/audio/307_Antfood_Glow_A.wav,307_Antfood_Glow_A.wav,57
Glow (B),/home/pedro/dev/antfood/percussive-gen/data/audio/307_Antfood_Glow_B.wav,307_Antfood_Glow_B.wav,57
Lopes (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/308_Antfood_Lopes.wav,308_Antfood_Lopes.wav,82
Sliver (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/309_Antfood_Sliver.wav,309_Antfood_Sliver.wav,78
Roadtrip (Extended),/home/pedro/dev/antfood/percussive-gen/data/audio/310_Antfood_Roadtrip.wav,310_Antfood_Roadtrip.wav,74
Frog Toad (A),/home/pedro/dev/antfood/percussive-gen/data/audio/311_Antfood_FrogToad_A.wav,311_Antfood_FrogToad_A.wav,60
Frog Toad (B),/home/pedro/dev/antfood/percussive-gen/data/audio/311_Antfood_FrogToad_B.wav,311_Antfood_FrogToad_B.wav,60
Raskin (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/312_Antfood_Raskin.wav,312_Antfood_Raskin.wav,32
Five Percent (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/313_Antfood_FivePercent.wav,313_Antfood_FivePercent.wav,82
Horses (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/314_Antfood_Horses.wav,314_Antfood_Horses.wav,38
